Species,Genus,Subfamily,Family,Order,Class,Phylum,"Atlantic, Northwest",Common,BodyShape,Fresh,Brack,Saltwater,DemersPelag,DemersPelagRef,AnaCat,MigratRef,DepthRangeShallow,DepthRangeDeep,DepthRangeRef,DepthRangeComShallow,DepthRangeComDeep,DepthComRef,VerticalMove,VerticalMoveRef,LatMin,LatMax,LatRef,LongevityWild,LongevityWildRef,Length,LTypeMaxM,MaxLengthRef,CommonLength,LTypeComM,CommonLengthF,LTypeComF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,MainCatchingMethod,II,MSeines,MGillnets,MCastnets,MTraps,MSpears,MTrawls,MDredges,MLiftnets,MHooksLines,MOther,Mobility,MobilityRef,FecundityMin,FecundityMax,FecundityMean,FecundityType,FecundityRef,SpawningSeason,SpawnRef,LarvalStrategy,LarvalRef,LarvalLength,LLRef,MinPLD,MaxPLD,AvePLD,PLDRef,LarvalVertical,LVRef,MinDispersal,MaxDispersal,AverageDispersal,ADRef,Rafting,RaftingRef,Schooling,SchoolingRef,Notes,Comments,Website Link
Coryphaenoides rupestris,Coryphaenoides,Macrourinae,Macrouridae,Gadiformes,Actinopterygii,Chordata,native,Roundnose grenadier,elongated,0,0,-1,bathypelagic,FB58426,NA,NA,180,2600,FB58426,400,1200,FB1371,Yes,NA,20°N,66°N,FB1371,54,FB41452,110,TL,FB35388,NA,NA,NA,NA,NA,1690,NA,FB40637,trawls,NA,0,0,0,0,0,-1,0,0,0,0,Active,FB9574,8700,56200,NA,Absolute,FB31210,Spring,FB6187,pelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,schooling,FB13703,"weight in excel (1696) does not match fishbase (1700g), multiple localities for fecundity and spawning and none are in Canada, no tabe for larvae","Benthopelagic to bathypelagic in about 400 and 1200 m depth.  Minimum depth from Ref. 1371.  Form large schools at 600 to 900 m depth (Ref. 9988).  Feed on a variety of fish and invertebrates, but primarily on pelagic crustaceans such as shrimps, amphipods and cumaceans; cephalopods and lantern fishes constitute a lesser portion of the diet.  Batch spawner (Ref. 51846). This species is currently facing overexploitation in the North Atlantic.  Utilized frozen and for fishmeal; can be fried and baked (Ref. 9988).",https://www.fishbase.se/summary/Coryphaenoides-rupestris.html
Cryptacanthodes maculatus,Cryptacanthodes,NA,Cryptacanthodidae,Perciformes,Actinopterygii,Chordata,native,Wrymouth,eel-like,0,0,-1,demersal,FB5951,NA,NA,1,110,FB5951,1,110,NA,No,FB87300,39°N,55°N,FB7251,NA,NA,97,TL,FB49746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Active,FB7251,NA,NA,NA,NA,NA,NA,NA,pelagic,Beal2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no tab for swim type and fecundity, only one locality for spawning in USA, unsure about larval strategy, no data on larval length","Burrows in soft muddy bottoms from shallow water to 110 m depth. Feeds mainly on benthic infauna found in and around its burrow system; its prey consisting of various amphipods, polychaetes, shrimp and small fish (Ref. 87300).",https://www.fishbase.se/summary/Cryptacanthodes-maculatus.html
Enchelyopus cimbrius,Enchelyopus,NA,Lotidae,Gadiformes,Actinopterygii,Chordata,native,Fourbeard rockling,elongated,0,0,-1,demersal,FB51243,oceanodromous,FB51243,20,650,FB6144,20,50,FB1371,No,FB1371,20°N,73°N,FB1371,9,FB1371,41,TL,FB1371,30,TL,NA,NA,FB1371,NA,NA,NA,trawls,NA,0,0,0,0,0,-1,0,0,0,0,Active,FB9574,5000,45000,NA,Absolute,FB1371,Summer,FB1371,pelagic,FB68,2,FB68,NA,NA,NA,NA,No,FB86779,NA,NA,NA,NA,NA,NA,both,FB32739,"fecundity data is from ""global"" locality, spawning data from locality ""canada"" and goes from June to September so I put September, unsure about larval strategy and has max and min length data","Sedentary bottom dwellers on muddy sand between patches of hard substrate, or on the soft, smooth ground of deep sinks on the continental slopes of both sides of the North Atlantic.  Feed on flatfishes, amphipods, decapods, copepods, mysids, shrimps, isopods and other small crustaceans.  Spawn in the Baltic Sea (Ref. 35388).  Mixed with soups and other products hot-smoked (Ref. 1371).",https://www.fishbase.se/summary/Enchelyopus-cimbrius.html
Eumesogrammus praecisus,Eumesogrammus,Stichaeinae,Stichaeidae,Perciformes,Actinopterygii,Chordata,native,Fourline snakeblenny,elongated,0,0,-1,benthopelagic,FB58426,NA,NA,5,400,FB58426,5,400,NA,Yes,NA,48°N,82°N,FB7251,NA,NA,22,TL,FB7251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Active,FB7251,NA,NA,NA,NA,NA,NA,NA,pelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no tab for swim type, fecundity, spawning and larvae","Occurs over sand to gravel-and-stone bottoms at depths of 16-400 meters, typically shallower than 70 meters (Ref. 51666).  Benthic; feeds on crustaceans (Ref. 58426).",https://www.fishbase.se/summary/Eumesogrammus-praecisus.html
Gadus morhua,Gadus,NA,Gadidae,Gadiformes,Actinopterygii,Chordata,native,Atlantic cod,fusiform / normal,0,-1,-1,benthopelagic,FB51243,oceanodromous,FB51243,0,600,FB1371,150,200,FB54441,Yes,FB1371,35°N,83°N,FB1371,25,FB173,200,TL,FB1371,100,TL,NA,NA,FB1371,96000,NA,FB9988,trawls,bottom otter trawls (OTB),-1,-1,0,-1,0,-1,0,0,-1,-1,Active,FB9574,63000,1240000,939000,Absolute, May1967,Spring,Suthers1991,pelagic,FB37,4.5,FB37,41.2,247.1,100.9,Houde1989,Yes,FB1371,NA,NA,170,Pogson2001,NA,NA,both,FB1371,"multiple localities for fecundity and spawning, have to recheck data input in excel","Widely distributed in a variety of habitats, from the shoreline down to the continental shelf. Juveniles prefer shallow (less than 10-30 m depth) sublittoral waters with complex habitats, such as seagrass beds, areas with gravel, rocks, or boulder, which provide protection from predators (Refs. 89383, 89384). Adults are usually found in deeper, colder waters. During the day, form schools and swim about 30-80 m above the bottom, dispersing at night to feed (Ref. 1371, 89385). Omnivorous; feed at dawn or dusk on invertebrates and fish, including young cod. (Ref. 1371). Migrate between spawning, feeding and overwintering areas, mostly within the boundaries of the respective stocks. Migrations >200 km are rare occurrences (Refs. 89386, 89387). Marketed fresh, dried or salted, smoked and frozen; eaten steamed, fried, broiled, boiled, microwaved and baked (Ref. 9988).",https://www.fishbase.se/summary/Gadus-morhua.html
Glyptocephalus cynoglossus,Glyptocephalus,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Chordata,native,Witch flounder,short and / or deep,0,0,-1,demersal,FB51243,oceanodromous,FB51243,18,1570,FB5951,45,366,FB6263,Yes,NA,36°N,70°N,FB30193,25,FB6263,60,SL,FB4705,NA,NA,NA,NA,NA,2500,NA,FB35388,seines,NA,0,0,0,0,0,-1,0,0,0,0,Active,FB9574,93,852,290,Relative,FB74378,Summer,FB74378,pelagic,FB37,4.95,FB37,NA,NA,NA,NA,Yes,FB86779,NA,NA,NA,NA,NA,NA,both,FB4705,"multiple localities for fecundity and spawning, unsure about larval strategy and min and max length data are available","Inhabits soft mud bottoms in fairly deep water (Ref. 9988).  Benthic (Ref. 58426).  Feeds on crustaceans, polychaetes, brittle stars (Ref. 9988) and fishes (Ref. 58426).  Marketed fresh or frozen; eaten steamed, fried, microwaved and baked (Ref. 9988).",https://www.fishbase.se/summary/Glyptocephalus-cynoglossus.html
Gymnocanthus tricuspis,Gymnocanthus,NA,Cottidae,Scorpaeniformes,Actinopterygii,Chordata,native,Arctic staghorn sculpin,elongated,0,0,-1,demersal,FB117245,NA,NA,0,556,FB117245,0,556,NA,No,FB4698,43°N,84°N,FB117245,NA,NA,30,TL,FB9707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Active,FB7251,NA,NA,NA,NA,NA,NA,NA,pelagic,FB265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no canadian localities for fecundity and spawning, usnure of larval strategy","Burrows into sand and sand-mud bottoms with salinities of 32-35 ppt, sometimes as low as 16-30 ppt (Ref. 4698).  Benthic (Ref. 58426).  Feeds on small benthic amphipods and polychaetes (Ref. 4698).",https://www.fishbase.se/summary/Gymnocanthus-tricuspis.html
Halargyreus johnsonii,Halargyreus,NA,Moridae,Gadiformes,Actinopterygii,Chordata,native,Slender codling,elongated,0,0,-1,bathypelagic,FB50550,NA,NA,450,3000,FB50550,450,3000,NA,Yes,NA,60°S,67°N,FB1371,NA,NA,56,TL,FB1371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,-1,0,0,0,0,Active,FB1371,NA,NA,NA,NA,NA,NA,NA,pelagic,Fukui2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no tab for fecundity, spawning and larvae","Epibenthic (Ref. 58426).  Food consists of free-living small animals, such as crustaceans and squids.  This species is reportedly being caught by trawl in temperate waters of Australia (Ref. 9563).",https://www.fishbase.se/summary/Halargyreus-johnsonii.html
Harriotta raleighana,Harriotta,NA,Rhinochimaeridae,Chimaeriformes,Holocephali,Chordata,native,Pacific longnose chimaera,elongated,0,0,-1,bathydemersal,FB117245,NA,NA,200,3100,FB117245,500,2000,FB97389,Yes,NA,49°S,65°N,FB26346,NA,NA,120,OT,FB26346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,-1,0,0,0,0,Active,FB26346,NA,NA,NA,NA,NA,NA,NA,direct,FB26346,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,NA,NA,NA,"have a max length for female but no column for the data, no tab for swim type, fecundity and larvae, is a tab for spawning but not locality in canada",Found on the continental slope and ocean floor (Ref. 26346).  Appears to feed mainly on shellfish and crustaceans (Ref. 6871).  Maximum length 120 cm without tail filament (Ref. 26346).,https://www.fishbase.se/summary/Harriotta-raleighana.html
Hemitripterus americanus,Hemitripterus,NA,Hemitripteridae,Scorpaeniformes,Actinopterygii,Chordata,native,Sea raven,elongated,0,0,-1,demersal,FB27549,NA,NA,2,180,FB27549,2,180,NA,No,"FB34819, FB41075",36°N,61°N,FB7251,NA,NA,64,TL,FB7251,NA,NA,NA,NA,NA,3200,NA,FB7251,NA,NA,0,0,0,0,0,0,0,0,0,0,Active,FB7251,NA,NA,NA,NA,NA,NA,NA,pelagic,FB68,12,FB68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no tab for swim type, fecundity and spawning, unsure larvae strategy and min and max length data is available","Inhabit rocky or hard bottom and is a voracious eater.  Food includes crustaceans, mollusks, sea urchins, fishes such as herring, sand lance and silver hake, and any bottom invertebrates that are available.  When taken out of the water the belly becomes inflated so that when returned to the water they are unable to submerge.  Adults attach their eggs near the base of a sponge to use as a spawning bed (Ref. 34819, 41075).",https://www.fishbase.se/summary/Hemitripterus-americanus.html
Hippoglossoides platessoides,Hippoglossoides,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Chordata,native,American plaice,short and / or deep,0,0,-1,demersal,FB51243,oceanodromous,FB51243,10,3000,FB58426,90,250,FB6263,Yes,FB43395,41°N,80°N,FB6263,30,FB6263,82.6,TL,FB58426,NA,NA,NA,NA,NA,6400,NA,FB7251,NA,NA,0,-1,0,0,0,-1,0,0,-1,0,Active,FB9574,NA,NA,353,Relative,FB74378,Spring,FB35388,pelagic,FB37,4,FB37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,FB94968,,"Adults are most abundant from 90 m to 250 m deep and bottom temperatures of -0.5 to 2.5<b0>C (Ref. 6263).  Live on soft bottoms (Ref. 9988, 58426).  Feed on invertebrates and small fishes.  Batch spawner (Ref. 51486).  Marketed fresh and frozen; eaten steamed, fried, microwaved and baked (Ref. 9988).",https://www.fishbase.se/summary/Hippoglossoides-platessoides.html
Hippoglossus hippoglossus,Hippoglossus,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Chordata,native,Atlantic halibut,fusiform / normal,0,0,-1,demersal,FB51243,oceanodromous,FB51243,50,2000,FB4705,50,2000,NA,Yes,FB4705,36°N,79°N,FB4705,50,FB173,470,TL,FB7251,NA,NA,NA,NA,NA,320000,NA,FB7251,hooks and lines,NA,0,0,0,0,0,-1,0,0,-1,0,Active,FB9574,NA,NA,NA,NA,NA,Winter,FB4705,pelagic,FB37,6.5,FB4705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"locality for fecundity is not canadian and mulitple localities for spawning and none of them are canadian, unsure about larval strategy","Adults are benthic but occasionally pelagic (Ref. 4705).  Feed mainly on other fishes (cod, haddock, pogge, sand-eels, herring, capelin), but also takes cephalopods, large crustaceans and other bottom-living animals.  Batch spawner (Ref. 51846).  Growth rate varies according to density, competition and availability of food.  Slow growth rate and late onset of sexual maturity, halibut populations can be seriously affected by overfishing (Ref. 35388). Utilized fresh, dried or salted, smoked and frozen; can be steamed, fried, broiled, boiled, microwaved and baked (Ref. 9988).  Also Ref. 58426.",https://www.fishbase.se/summary/Hippoglossus-hippoglossus.html
Hydrolagus affinis,Hydrolagus,NA,Chimaeridae,Chimaeriformes,Holocephali,Chordata,native,Smalleyed rabbitfish,elongated,0,0,-1,bathydemersal,FB4443,NA,NA,300,3000,FB4443,300,3000,NA,Yes,FB83979,58°S,70°N,FB3330,NA,NA,130,TL,FB4443,NA,NA,NA,NA,NA,NA,NA,NA,trawls,NA,0,0,0,0,0,0,0,0,0,0,Active,FB3330,NA,NA,NA,NA,NA,NA,NA,direct,FB205,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,NA,NA,NA,"no tab for swim type, fecundity, spawning and larvae","Epibenthic (Ref. 58426).  Found on continental slopes and down to deep-sea plains.  Reported down up to 3000 m along the mid-Atlantic ridge (Ref. 83979, C.Cotton pers.comm. 03/10).  Feeds on small fishes and invertebrates (Ref. 6680).  Oviparous (Ref. 205).  Eggs are encased in horny shells (Ref. 205).",https://www.fishbase.se/summary/Hydrolagus-affinis.html
Icelus spatula,Icelus,NA,Cottidae,Scorpaeniformes,Actinopterygii,Chordata,native,Spatulate sculpin,elongated,0,0,-1,demersal,FB58426,NA,NA,12,930,FB58426,125,150,FB56590,No,NA,45°N,84°N,FB117245,7,FB56590,21,TL,FB56590,12.9,TL,NA,NA,FB56590,160,NA,FB56590,NA,NA,0,0,0,0,0,-1,0,0,0,0,Active,FB7251,NA,NA,NA,NA,NA,NA,NA,pelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no tab for swim type, fecundity and larvae, spawning tab has no canadian localities","Found on sand or sandy-mud bottoms with stones with salinities of 24.7-34.2 ppt (Ref. 4698).  Benthic (Ref. 58426).  Feeds mainly large bottom invertebrates, rarely small mollusks (Ref. 4698).",https://www.fishbase.se/summary/Icelus-spatula.html
Lepidion eques,Lepidion,NA,Moridae,Gadiformes,Actinopterygii,Chordata,native,North Atlantic codling,fusiform / normal,0,0,-1,benthopelagic,FB1371,NA,NA,127,1880,FB58426,500,900,FB57668,Yes,NA,42°N,75°N,FB1371,NA,NA,44,TL,FB1371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Active,FB9574,NA,NA,NA,NA,NA,NA,NA,pelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no tab for fecundity, spawning and larvae, no info on depth or size is on fishbase but there is info in excel",Epibenthic (Ref. 58426).  Feeds mainly on crustaceans but also on polychaetes.  Caught singly but also in aggregations of more than 100 individuals (Ref. 1371).,https://www.fishbase.se/summary/Lepidion-eques.html
Leptagonus decagonus,Leptagonus,Agoninae,Agonidae,Scorpaeniformes,Actinopterygii,Chordata,native,Atlantic poacher,elongated,0,0,-1,demersal,FB50550,NA,NA,0,930,FB50550,75,230,FB42091,Yes,FB58426,43°N,83°N,FB57308,NA,NA,21,TL,FB4700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Active,FB4700,NA,NA,NA,NA,NA,NA,NA,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no tab for swim type and larvea, multiple localities for fecundity and spawning but none are canadian","Inhabits muddy bottoms at temperatures of 4.4 to -1.7 <b0>C (Ref. 4700).  Benthic, possibly bathypelagic (Ref. 58426).  Feeds on pelagic and benthic crustaceans and polychaetes (Ref. 4700).",https://www.fishbase.se/summary/Leptagonus-decagonus.html
Leucoraja ocellata,Leucoraja,NA,Rajidae,Rajiformes,Elasmobranchii,Chordata,native,Winter skate,other,0,0,-1,demersal,FB51243,oceanodromous,FB51243,0,120,FB93252,0,120,NA,Yes,NA,34°N,51°N,FB55278,20.8,FB52109,110,TL,FB7251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,-1,0,0,0,0,Active,FB9574,NA,NA,35,Litter,Garcia2008,Fall,Sulikowski2004,direct,FB50449,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,NA,NA,NA,"no tab for fecundity, spawning and larvae  ","Prefer sandy and gravelly bottoms in shoal water in the north range; to at least 90 m in south (Ref. 7251).  Benthic (Ref. 5951).  Those caught at Cans, Nova Scotia in Canada were found to have eaten dollarfish, cunner, and squid.  Mostly inactive during daylight hours, but active under dark conditions (Ref. 10807).  Oviparous.  Distinct pairing with embrace.  Young may tend to follow large objects, such as their mother (Ref. 205).  Eggs are oblong capsules with stiff pointed horns at the corners deposited in sandy or muddy flats (Ref. 205).  Egg capsules are 5.5-9.9 cm long and 3.5-5.3 cm wide (Ref. 41249, 7135, 71301).
Electric organ discharge (EOD) activity seemed more frequent during dark periods (Ref. 10808).  The individual EOD of this species is monophasic, head-negative, and lasts 217 ms (Ref. 10011).  This species is used only for the manufacture of fish meal.",https://www.fishbase.se/summary/Leucoraja-ocellata.html
Limanda ferruginea,Limanda,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Chordata,endemic,Yellowtail flounder,short and / or deep,0,0,-1,demersal,FB5951,NA,NA,27,364,FB5951,36,91,FB5951,Yes,NA,37°N,54°N,FB30193,12,FB6286,64,TL,FB7251,NA,NA,NA,NA,NA,1500,NA,FB9988,NA,NA,0,-1,0,0,0,-1,0,0,0,0,Active,FB9574,340,8349,1646,Relative,FB74378,Summer,FB74378,pelagic,FB68,2.75,FB68,NA,NA,NA,NA,Yes,FB86779,NA,NA,NA,NA,NA,NA,schooling,FB9000,"multiple canadain localities for fecundity, no canadian localities for spawning, unsure about larval strategy","Adults inhabit sandy to muddy bottoms (Ref. 7251).  Prefer depths of 37 to 82 m at temperatures of 3-5<b0>C (Ref. 6263).  Feed mainly on polychaete worms and amphipods, shrimps, isopods and other crustaceans and occasionally small fish such as sand lance and capelin (Ref. 12232).  Batch spawner (Ref. 51846).  Marketed fresh or frozen; eaten steamed, fried, microwaved and baked (Ref. 9988).",https://www.fishbase.se/summary/Limanda-ferruginea.html
Lophius americanus,Lophius,NA,Lophiidae,Lophiiformes,Actinopterygii,Chordata,native,American angler,fusiform / normal,0,0,-1,demersal,FB51243,oceanodromous,FB51243,0,800,FB27549,0,800,NA,Yes,FB5951,28°N,60°N,FB7251,30,FB796,120,TL,FB7251,90,TL,NA,NA,FB3787,22560,NA,FB40637,trawls,NA,0,0,0,0,0,0,0,0,0,0,Active,FB7251,NA,NA,NA,NA,NA,NA,NA,pelagic,FB68,3,FB68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"only locality for fecundity and spawning are USA, unsure about larval strategy ","Inhabits continental shelf, occurring deeper in southern parts of range (Ref 7251); tolerating a wide range of temperature (0-21<b0>C) (Ref. 5951).",https://www.fishbase.se/summary/Lophius-americanus.html
Lycodes esmarkii,Lycodes,Lycodinae,Zoarcidae,Perciformes,Actinopterygii,Chordata,native,Greater eelpout,elongated,0,0,-1,bathydemersal,FB117245,NA,NA,143,1090,FB117245,240,619,FB117245,Yes,NA,36°N,76°N,FB117245,NA,NA,75,TL,FB4695,47.5,TL,NA,NA,FB4695,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Active,FB4695,NA,NA,NA,NA,NA,NA,NA,demersal,Ferry2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no tab for swim type, fecundity, spawning and larvae",Occurs at a temperature range of -0.4<b0> to 5.6 <b0>C (Ref. 117245).  Optimal temperatures appear to range between 2.6<b0> and 3.5<b0>C.  Inhabits soft bottom areas (Ref. 13532).  Benthic (Ref. 58426).  Feeds almost exclusively on ophiuroids (Ref. 13532).,https://www.fishbase.se/summary/Lycodes-esmarkii.html
Lycodes reticulatus,Lycodes,Lycodinae,Zoarcidae,Perciformes,Actinopterygii,Chordata,native,Arctic eelpout,elongated,0,0,-1,bathydemersal,FB117245,NA,NA,18,930,FB117245,18,930,NA,Yes,NA,41°N,83°N,FB117245,NA,NA,36,TL,FB7251,NA,NA,NA,NA,NA,NA,NA,NA,trawls,NA,0,0,0,0,0,0,0,0,0,0,Active,FB11954,NA,NA,NA,NA,NA,NA,NA,demersal,Ferry2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no tab for swim type, fecundity, spawning and larvae","Occurs on soft bottoms (Ref. 13534).  Benthic (Ref. 58426).  Feeds mainly on epibenthic animals and does not seem to burrow much for prey.  Smaller fish prey on smaller species like amphipods, isopods and small bivalves while larger fish prey on shrimps, euphausiids and fish (Ref. 13532).",https://www.fishbase.se/summary/Lycodes-reticulatus.html
Lycodes vahlii,Lycodes,Lycodinae,Zoarcidae,Perciformes,Actinopterygii,Chordata,native,Vahl's eelpout,eel-like,0,0,-1,bathydemersal,FB117245,NA,NA,39,1200,FB117245,71,1200,FB117245,Yes,NA,61°N,74°N,FB117245,NA,NA,52,TL,FB4695,27.5,TL,NA,NA,FB4695,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Active,FB11945,NA,NA,NA,NA,NA,NA,NA,demersal,Ferry2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no tab for swim type, fecundity, spawning and larvae","Lives at temperature of 0-5<b0>C.  Off Greenland it measures 50 cm and off Scandinavia rarely over 25-30 cm (Ref. 35388).  Benthic (Ref. 58426).  Feeds mostly on endobenthic prey, with shrimps and euphausiids becoming the more prominent prey as the size increases (Ref. 13532).  Prefers warmer waters (Ref. 13534).  Large eggs of 6 mm diameter are deposited on the sea floor.",https://www.fishbase.se/summary/Lycodes-vahlii.html
Macrourus berglax,Macrourus,Macrourinae,Macrouridae,Gadiformes,Actinopterygii,Chordata,native,Roughhead grenadier,elongated,0,0,-1,benthopelagic,FB1371,non-migratory,NA,100,1000,FB1371,300,500,FB54573,Yes,NA,37°N,82°N,FB54573,25,FB1371,110,TL,FB35388,NA,NA,NA,NA,NA,NA,NA,NA,trawls,unspecified trawls (TX),0,0,0,0,0,0,0,0,0,-1,Active,FB9574,14363,79221,NA,Absolute,FB108991,Winter,FB35388; FB6187,pelagic,Eliassen1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shoaling,FB1371,"multiple localities for fecundity, only one north atlantic locality for spawning but the time overlaps over winter and spring","Epibenthic, in deep waters down to 2740 (Ref. 58426).  Adults are commonly found in about 300-500 m depth.  Temperature preferences appear to range from about 1-4<b0>C, although bottom temperatures below 0<b0>C have been recorded at capture depths.  Amphipods predominate in the diet, although polychaetes and various natant crustaceans are also important.  Also feed on bivalves, isopods, echinoderms (notably ophiuroids), and ctenophores (Ref. 1371).  Batch spawner (Ref. 51846).",https://www.fishbase.se/summary/Macrourus-berglax.html
Malacoraja senta,Malacoraja,NA,Rajidae,Rajiformes,Elasmobranchii,Chordata,native,Smooth skate,other,0,-1,-1,bathydemersal,FB51243,oceanodromous,FB51243,46,914,FB7251,46,914,NA,No,FB6902,40°N,54°N,FB27314,NA,NA,61,TL,FB6902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,-1,0,0,0,0,Active,FB9574,NA,NA,30,NA,NA,NA,NA,direct,FB50449,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,NA,shoaling,FB37512,"no tab for fecundity, spawning and larvae, vertical movement stated in biology section, no info for rafting","Inhabits soft mud and clay bottoms of the deeper troughs and basins, sands and shells, gravel and pebbles of the offshore fishing banks (Ref. 6902).  Benthic (Ref. 5951).  Salinity ranges from 32.6 to 35.4 (Ref. 6902).  This species is confined to deep water.  No occurrence has been found in less than 8 m of water.  Oviparous.  Distinct pairing with embrace.  Young may tend to follow large objects, such as their mother (Ref. 205).  Eggs are oblong capsules with stiff pointed horns at the corners deposited in sandy or muddy flats (Ref. 205).  Egg capsules are 5.0-5.9 cm long and 3.8-4.5 cm wide (Ref. 41249, 41306, 41301).  Caught too sparingly to have any commercial importance (Ref. 27314).",https://www.fishbase.se/summary/Malacoraja-senta.html
Mallotus villosus,Mallotus,NA,Osmeridae,Osmeriformes,Actinopterygii,Chordata,native,Capelin,elongated,-1,-1,-1,pelagic-oceanic,FB46888,anadromous,FB46888,0,725,FB58426,0,200,FB96339,Yes,NA,37°N,84°N,FB54574,10,FB72498,20,TL,FB11626,15,TL,NA,NA,FB4645,52,NA,FB56475,seines,NA,-1,0,-1,0,0,-1,0,0,0,-1,Active,FB2850,8976,30042,NA,Absolute,FB108991,Summer,FB6885; FB92148,pelagic,FB265,NA,NA,NA,NA,150,FB3586,NA,NA,NA,NA,NA,NA,NA,NA,both,FB2850; FB37812,"data on fishbase for max length of female, 2 localities in canada (lower st lawrence (2003) and southern BC) lower st lawrence was used, spawning (2 canadian localities: southern BC and newfoundland, none are the target location) and for larval strategy the egg secction say place of development is in sand or gravel, main ref recorded for activity","Oceanic species found in schools (Ref. 2850).  Nerito-pelagic (Ref. 58426).  Adults feed on planktonic crustaceans, copepods, euphausiids, amphipods, marine worms, and small fishes (Ref. 6885, 35388).  Mature individuals move inshore in large schools to spawn (Ref. 2850).  In the spring large spawning shoals migrate toward the coasts, males usually arrive first.  Often entering brackish and freshwater (Ref. 37812).  Semelparous (Ref. 51846).  Produces 6,000-12,000 adhesive eggs.  Females are valued for their roe, males are utilized as fishmeal.  Marketed canned and frozen; eaten fried  and dried (Ref. 9988).  Possibly to 725 m depth (Ref. 6793).",https://www.fishbase.se/summary/Mallotus-villosus.html
